step = 383, t = 0.000227806983334704, dt = 1.3329457597008825e-7
step = 384, t = 0.0002279402779106741, dt = 1.3329457597008825e-7
step = 385, t = 0.0002280735724866442, dt = 1.3329457597008825e-7
step = 386, t = 0.00022820686706261428, dt = 1.3329457597008825e-7
step = 387, t = 0.00022834016163858438, dt = 1.3329457597008825e-7
step = 388, t = 0.00022847345621455448, dt = 1.3329457597008825e-7
step = 389, t = 0.00022860675079052457, dt = 1.3329457597008825e-7
step = 390, t = 0.00022874004536649467, dt = 1.3329457597008825e-7
step = 391, t = 0.00022887333994246476, dt = 1.3329457597008825e-7
step = 392, t = 0.00022900663451843486, dt = 1.3329457597008825e-7
step = 393, t = 0.00022913992909440496, dt = 1.3329457597008825e-7
step = 394, t = 0.00022927322367037505, dt = 1.3329457597008825e-7
step = 395, t = 0.00022940651824634515, dt = 1.3329457597008825e-7
step = 396, t = 0.00022953981282231525, dt = 1.3329457597008825e-7
step = 397, t = 0.00022967310739828534, dt = 1.3329457597008825e-7
step = 398, t = 0.00022980640197425544, dt = 1.3329457597008825e-7
step = 399, t = 0.00022993969655022553, dt = 1.3329457597008825e-7
step = 400, t = 0.00023007299112619563, dt = 1.3329457597008825e-7
step = 401, t = 0.00023020628570216573, dt = 1.3329457597008825e-7
step = 402, t = 0.00023033958027813582, dt = 1.3329457597008825e-7
step = 403, t = 0.00023047287485410592, dt = 1.3329457597008825e-7
step = 404, t = 0.00023060616943007602, dt = 1.3329457597008825e-7
step = 405, t = 0.0002307394640060461, dt = 1.3329457597008825e-7
step = 406, t = 0.0002308727585820162, dt = 1.3329457597008825e-7
step = 407, t = 0.0002310060531579863, dt = 1.3329457597008825e-7
step = 408, t = 0.0002311393477339564, dt = 1.3329457597008825e-7
step = 409, t = 0.0002312726423099265, dt = 1.3329457597008825e-7
step = 410, t = 0.0002314059368858966, dt = 1.3329457597008825e-7
step = 411, t = 0.0002315392314618667, dt = 1.3329457597008825e-7
step = 412, t = 0.00023167256284230175, dt = 1.3333138043507352e-7
